z,bedroom_count,prompt,generated_image,actual_bedrooms,bedroom_count_correct,rooms_connected,walls_valid,doors_valid
0,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0000.png,1,0,0,1,0
1,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0001.png,3,0,0,1,0
2,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0002.png,2,0,0,0,0
3,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0003.png,2,0,0,1,0
4,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0004.png,3,1,0,1,0
5,0,Generate a 0 bedroom floor plan,/content/floor_plan_evaluation/test_0005.png,0,1,1,1,1
6,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0006.png,0,0,0,1,0
7,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0007.png,1,0,1,1,1
8,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0008.png,1,0,1,1,1
9,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0009.png,3,0,1,0,1
10,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0010.png,1,0,1,0,1
11,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0011.png,1,0,1,0,1
12,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0012.png,2,0,1,1,1
13,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0013.png,3,1,0,1,0
14,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0014.png,1,0,1,1,1
15,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0015.png,2,0,1,1,1
16,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0016.png,1,0,1,0,1
17,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0017.png,1,0,1,1,0
18,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0018.png,0,0,0,0,0
19,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0019.png,1,0,1,0,1
20,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0020.png,3,1,1,1,1
21,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0021.png,1,0,0,1,1
22,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0022.png,1,0,1,1,1
23,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0023.png,2,0,1,0,1
24,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0024.png,1,0,0,1,1
25,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0025.png,2,0,1,0,0
26,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0026.png,0,0,1,0,0
27,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0027.png,2,0,1,1,1
28,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0028.png,1,0,1,1,1
29,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0029.png,1,0,1,1,1
30,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0030.png,1,0,0,1,1
31,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0031.png,2,0,0,1,1
32,1,Generate a 1 bedroom floor plan,/content/floor_plan_evaluation/test_0032.png,1,1,1,0,1
33,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0033.png,2,0,1,0,0
34,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0034.png,1,0,0,1,1
35,0,Generate a 0 bedroom floor plan,/content/floor_plan_evaluation/test_0035.png,2,0,0,0,0
36,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0036.png,1,0,1,1,1
37,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0037.png,2,0,1,1,1
38,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0038.png,1,0,1,0,1
39,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0039.png,1,0,1,0,1
40,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0040.png,1,0,0,1,1
41,2,Generate a 2 bedroom floor plan,/content/floor_plan_evaluation/test_0041.png,2,1,0,0,0
42,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0042.png,1,0,0,1,1
43,2,Generate a 2 bedroom floor plan,/content/floor_plan_evaluation/test_0043.png,1,0,1,1,1
44,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0044.png,1,0,1,1,1
45,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0045.png,3,1,0,0,0
46,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0046.png,2,0,0,1,1
47,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0047.png,1,0,1,1,1
48,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0048.png,2,0,1,1,1
49,1,Generate a 1 bedroom floor plan,/content/floor_plan_evaluation/test_0049.png,1,1,0,0,1
50,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0050.png,1,0,1,1,0
51,1,Generate a 1 bedroom floor plan,/content/floor_plan_evaluation/test_0051.png,0,0,1,0,1
52,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0052.png,2,0,1,1,1
53,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0053.png,1,0,0,1,0
54,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0054.png,1,0,0,0,1
55,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0055.png,1,0,0,0,1
56,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0056.png,1,0,1,1,1
57,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0057.png,1,0,1,1,1
58,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0058.png,1,0,0,1,1
59,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0059.png,1,0,1,1,1
60,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0060.png,1,0,0,1,1
61,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0061.png,1,0,1,1,1
62,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0062.png,2,0,1,1,0
63,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0063.png,1,0,1,1,1
64,3,Generate a 3 bedroom floor plan,/content/floor_plan_evaluation/test_0064.png,1,0,1,0,1
65,5,Generate a 5 bedroom floor plan,/content/floor_plan_evaluation/test_0065.png,2,0,1,0,1
66,4,Generate a 4 bedroom floor plan,/content/floor_plan_evaluation/test_0066.png,1,0,1,1,1
